ID,IsEdible,Odor,Surface
1,Edible,None,Fibrous
2,Edible,None,Fibrous
3,Edible,None,Smooth
4,Edible,None,Scaly
5,Edible,None,Fibrous
6,Poisonous,Foul,Fibrous
7,Edible,None,Scaly
8,Poisonous,Foul,Fibrous
9,Poisonous,Creosote,Fibrous
10,Poisonous,Foul,Fibrous
11,Poisonous,Fishy,Scaly
12,Poisonous,Pungent,Scaly
13,Poisonous,Foul,Smooth
14,Edible,None,Scaly
15,Poisonous,Spicy,Smooth
16,Poisonous,Fishy,Smooth
17,Poisonous,Foul,Fibrous
18,Edible,None,Smooth
19,Edible,Almond,Smooth
20,Edible,Anise,Smooth
21,Poisonous,Fishy,Scaly
22,Poisonous,Fishy,Smooth
23,Edible,None,Fibrous
24,Edible,Almond,Scaly
25,Poisonous,Foul,Scaly
26,Poisonous,Foul,Smooth
27,Poisonous,Foul,Fibrous
28,Poisonous,Foul,Fibrous
29,Poisonous,Foul,Fibrous
30,Edible,None,Fibrous
31,Edible,None,Smooth
32,Poisonous,Fishy,Smooth
33,Edible,None,Fibrous
34,Edible,None,Fibrous
35,Edible,None,Fibrous
36,Poisonous,Foul,Scaly
37,Edible,Almond,Smooth
38,Poisonous,Foul,Smooth
39,Poisonous,Fishy,Smooth
40,Poisonous,Foul,Scaly
41,Poisonous,Foul,Fibrous
42,Edible,None,Fibrous
43,Edible,None,Scaly
44,Poisonous,Foul,Scaly
45,Poisonous,Pungent,Scaly
46,Edible,None,Fibrous
47,Poisonous,None,Scaly
48,Poisonous,Fishy,Smooth
49,Poisonous,Fishy,Scaly
50,Edible,None,Scaly
51,Poisonous,Pungent,Smooth
52,Edible,Anise,Scaly
53,Edible,None,Fibrous
54,Poisonous,Foul,Scaly
55,Poisonous,Fishy,Scaly
56,Edible,Almond,Smooth
57,Poisonous,Foul,Scaly
58,Poisonous,Foul,Smooth
59,Edible,None,Scaly
60,Poisonous,Foul,Smooth
61,Edible,None,Fibrous
62,Poisonous,Foul,Scaly
63,Edible,None,Fibrous
64,Edible,None,Fibrous
65,Edible,Anise,Scaly
66,Edible,None,Smooth
67,Edible,None,Fibrous
68,Poisonous,Foul,Smooth
69,Poisonous,Creosote,Fibrous
70,Poisonous,Spicy,Smooth
71,Poisonous,Foul,Scaly
72,Poisonous,Pungent,Smooth
73,Edible,None,Scaly
74,Edible,Anise,Scaly
75,Poisonous,Foul,Fibrous
76,Edible,None,Scaly
77,Poisonous,Spicy,Smooth
78,Edible,Anise,Smooth
79,Edible,None,Smooth
80,Poisonous,Foul,Scaly
81,Poisonous,Spicy,Smooth
82,Edible,None,Fibrous
83,Poisonous,Foul,Scaly
84,Edible,None,Scaly
85,Edible,Anise,Scaly
86,Edible,None,Smooth
87,Edible,Anise,Smooth
88,Edible,None,Scaly
89,Poisonous,Foul,Fibrous
90,Edible,None,Scaly
91,Edible,Almond,Scaly
92,Edible,Anise,Scaly
93,Edible,None,Scaly
94,Edible,Anise,Scaly
95,Poisonous,Fishy,Scaly
96,Edible,Anise,Smooth
97,Poisonous,Foul,Smooth
98,Edible,None,Fibrous
99,Edible,None,Scaly
100,Poisonous,Foul,Scaly
101,Edible,Almond,Smooth
102,Edible,None,Smooth
103,Poisonous,Foul,Scaly
104,Poisonous,Pungent,Smooth
105,Poisonous,Spicy,Smooth
106,Poisonous,None,Smooth
107,Poisonous,Foul,Scaly
108,Edible,None,Fibrous
109,Poisonous,Creosote,Smooth
110,Edible,None,Fibrous
111,Edible,None,Scaly
112,Edible,None,Smooth
113,Poisonous,Foul,Scaly
114,Poisonous,Foul,Scaly
115,Edible,None,Fibrous
116,Edible,None,Fibrous
117,Edible,Anise,Smooth
118,Edible,None,Scaly
119,Edible,None,Fibrous
120,Poisonous,Foul,Smooth
121,Edible,None,Fibrous
122,Poisonous,Foul,Fibrous
123,Poisonous,Foul,Scaly
124,Edible,Almond,Scaly
125,Poisonous,Foul,Fibrous
126,Poisonous,Foul,Scaly
127,Poisonous,Foul,Fibrous
128,Poisonous,Spicy,Smooth
129,Edible,None,Fibrous
130,Poisonous,Foul,Smooth
131,Edible,Anise,Scaly
132,Edible,None,Scaly
133,Poisonous,Pungent,Scaly
134,Edible,None,Scaly
135,Edible,None,Fibrous
136,Poisonous,Pungent,Smooth
137,Edible,None,Scaly
138,Edible,Anise,Scaly
139,Edible,None,Fibrous
140,Poisonous,Spicy,Smooth
141,Edible,None,Fibrous
142,Poisonous,Foul,Smooth
143,Edible,None,Fibrous
144,Poisonous,Foul,Scaly
145,Edible,None,Fibrous
146,Edible,None,Scaly
147,Poisonous,Foul,Fibrous
148,Poisonous,Foul,Scaly
149,Poisonous,Foul,Fibrous
150,Edible,None,Fibrous
151,Edible,Anise,Scaly
152,Poisonous,Creosote,Fibrous
153,Poisonous,Fishy,Smooth
154,Edible,None,Scaly
155,Edible,None,Smooth
156,Edible,Anise,Smooth
157,Poisonous,Spicy,Scaly
158,Poisonous,Foul,Fibrous
159,Poisonous,Foul,Fibrous
160,Edible,None,Fibrous
161,Poisonous,Foul,Scaly
162,Edible,None,Scaly
163,Poisonous,Foul,Scaly
164,Poisonous,Foul,Scaly
165,Edible,None,Smooth
166,Edible,Almond,Scaly
167,Poisonous,Foul,Scaly
168,Poisonous,Foul,Smooth
169,Edible,Anise,Scaly
170,Edible,None,Scaly
171,Edible,None,Scaly
172,Edible,None,Scaly
173,Poisonous,Fishy,Smooth
174,Edible,Almond,Scaly
175,Poisonous,Fishy,Smooth
176,Edible,None,Smooth
177,Edible,Almond,Scaly
178,Edible,None,Scaly
179,Poisonous,Foul,Scaly
180,Poisonous,Fishy,Smooth
181,Edible,Almond,Scaly
182,Poisonous,Foul,Scaly
183,Edible,None,Fibrous
184,Edible,None,Scaly
185,Edible,None,Smooth
186,Poisonous,Foul,Smooth
187,Poisonous,Foul,Scaly
188,Edible,Almond,Scaly
189,Poisonous,Fishy,Scaly
190,Poisonous,Foul,Fibrous
191,Edible,None,Fibrous
192,Edible,None,Smooth
193,Poisonous,Foul,Fibrous
194,Poisonous,Fishy,Smooth
195,Edible,Almond,Scaly
196,Poisonous,Foul,Smooth
197,Poisonous,Foul,Scaly
198,Poisonous,Fishy,Scaly
199,Edible,None,Fibrous
200,Poisonous,Foul,Scaly
