Country,Grain,Meat,Milk & Eggs,Other,Produce,Sugar & Fat,Total
Australia,22.96,16.52,10.35,6.32,9.95,33.89,3275
China,46.27,17.43,1.86,5.92,16.46,12.06,3110
Congo,25.76,7.29,0.91,2.94,41.38,21.73,2209
Cuba,44.67,8.69,4.29,3.11,15.7,23.54,3407
France,28.05,15.62,9.79,6.2,8.58,31.75,3483
Iraq,63.69,3.42,1.34,2.48,7.23,21.85,2545
Japan,40.17,12.03,4.15,8.58,7.63,27.44,2726
Pakistan,50.82,3.34,13.23,0.49,4.66,27.45,2426
Peru,43.89,5.81,3.77,4.26,25.09,17.17,2702
South Africa,51.57,11.98,2.81,6.06,4.97,22.61,3021
United States,22.81,12.49,9.99,6.41,8.75,39.54,3682
Zambia,59.69,3.83,0.78,2.33,14.4,18.96,1930